선석,선사,모선항차,선사항차,선명,항로,반입마감시한,접안예정일시,출항예정일시,양하,적하,Shift,AMP,상태
T3(S),HMM,HHSU002,0151W/0151W,HYUNDAI SUPREME,PN3W,2025-07-21 00:12,2025-07-21 12:12,2025-07-22 08:00,987,670,212,N,DEPARTED
T1(S),MSC,MSRK001,HV527R/HV527R,MSC SPARKLE III,AAB,2025-07-21 04:12,2025-07-21 16:12,2025-07-22 14:00,1149,932,0,N,DEPARTED
T2(S),FES,HVDK005,0922N/0922N,VLADIVOSTOK,KRS,2025-07-21 05:54,2025-07-21 17:54,2025-07-22 06:00,553,0,0,N,DEPARTED
T2(S),HMM,HOMC010,0009S/0009S,HMM MIRACLE,ICN,2025-07-21 14:12,2025-07-22 02:12,2025-07-22 18:00,357,551,0,N,DEPARTED
T3(S),ONE,OCNC003,0140W/0140W,CONTI CRYSTAL,PS3W,2025-07-21 22:00,2025-07-22 10:00,2025-07-22 21:00,609,1,286,Y,DEPARTED
T1(S),FES,IPAM001,0124N/0124N,IPANEMA,KRS,2025-07-22 04:12,2025-07-22 16:12,2025-07-22 23:00,0,202,0,N,DEPARTED
T2(S),HMM,HOSR004,0007W/0007W,HMM SAPPHIRE,AG1,2025-07-22 08:30,2025-07-22 20:30,2025-07-24 02:00,1393,1510,138,N,DEPARTED
T3(S),HMM,HHBV002,0115W/0115W,HYUNDAI BRAVE,FIL,2025-07-22 15:12,2025-07-23 03:12,2025-07-24 03:00,453,900,26,N,DEPARTED
T1(S),FES,FDMD001,0704N/0704N,FESCO DIOMID,KRS,2025-07-23 01:00,2025-07-23 13:00,2025-07-23 23:00,0,370,0,N,DEPARTED
T1(S),RCL,PLWN008,0014S/0014S,PALAWAN,CTP,2025-07-23 13:00,2025-07-24 01:00,2025-07-24 12:00,367,392,0,N,DEPARTED
T2(S),HMM,HOOP005,0006E/0006E,HMM OPAL,PS6E,2025-07-23 16:30,2025-07-24 04:30,2025-07-25 03:00,500,1607,14,N,DEPARTED
T3(S),ONE,OFAN001,0006E/0006E,ONE FANTASTIC,MS2E,2025-07-23 17:06,2025-07-24 05:06,2025-07-25 10:00,418,1298,148,N,DEPARTED
T1(S),XPR,ASCR029,0030W/0030W,AS CHRISTIANA,BH2,2025-07-24 04:06,2025-07-24 16:06,2025-07-25 13:00,1170,339,0,N,DEPARTED
T2(S),ONE,OLSF017,0222N/0222N,LOS ANDES BRIDGE,JPHN,2025-07-24 17:42,2025-07-25 05:42,2025-07-25 23:00,560,468,0,N,DEPARTED
T3(S),EMC,UNCN005,0174N/0174N,EVER UNICORN,NEAX,2025-07-25 00:00,2025-07-25 12:00,2025-07-26 07:00,1429,0,390,N,DEPARTED
T1(S),FES,JIYU012,1060N/1060N,JI YU,JRX,2025-07-25 02:48,2025-07-25 14:48,2025-07-25 23:00,66,34,2,N,DEPARTED
T2(S),HMM,HHVO004,0157E/0157E,HYUNDAI VOYAGER,FLX,2025-07-25 13:00,2025-07-26 01:00,2025-07-26 16:00,482,1060,4,N,DEPARTED
T1(S),HMM,HOMT009,0007W/0007W,HMM MASTER,ICN,2025-07-25 17:00,2025-07-26 05:00,2025-07-26 17:00,490,252,0,N,DEPARTED
T3(P),YML,YMMT002,0097W/0097W,YM MILESTONE,PS3W,2025-07-26 01:30,2025-07-26 13:30,2025-07-27 11:00,799,597,0,Y,DEPARTED
T2(S),ONE,OSZE020,2141S/2141S,SEABREEZE,JPHS,2025-07-26 13:12,2025-07-27 01:12,2025-07-27 19:00,598,540,0,N,DEPARTED
T1(S),HMM,HTSB001,0061W/0061W,SEASPAN BREEZE,FIM,2025-07-26 16:24,2025-07-27 04:24,2025-07-27 19:00,0,1190,20,N,DEPARTED
T1(S),HMM,HHVC004,0299W/0299W,HMM VANCOUVER,PN3W,2025-07-28 00:00,2025-07-28 12:00,2025-07-29 15:00,1257,772,448,N,DEPARTED
T2(S),HMM,HOAQ005,0008E/0008E,HMM AQUAMARINE,PS6E,2025-07-28 00:24,2025-07-28 12:24,2025-07-29 18:00,465,1875,30,N,DEPARTED
T3(S),HMM,HHJK002,0136W/0136W,HMM JAKARTA,FIL,2025-07-28 12:06,2025-07-29 00:06,2025-07-29 18:00,0,1264,0,N,DEPARTED
T2(S),ONE,OONL003,0038E/0038E,ONE BLUE JAY,EC2E,2025-07-29 08:12,2025-07-29 20:12,2025-07-31 10:00,374,2884,36,N,DEPARTED
T3(S),HMM,HHDV004,0055E/0055E,HMM DRIVE,EC1E,2025-07-29 09:00,2025-07-29 21:00,2025-07-31 12:00,1606,2475,28,N,DEPARTED
